from,to,amount,timestamp
user_187,user_317,1102,2026-01-26T14:46:55.125469
user_161,user_317,1993,2026-01-26T15:48:55.125469
user_91,user_317,1579,2026-01-26T15:11:55.125469
user_219,user_317,2757,2026-01-26T14:34:55.125469
user_330,user_317,2826,2026-01-26T16:00:55.125469
user_11,user_317,1501,2026-01-26T14:53:55.125469
user_379,user_317,2659,2026-01-26T14:26:55.125469
user_123,user_317,2097,2026-01-26T15:33:55.125469
user_96,user_317,891,2026-01-26T14:07:55.125469
user_205,user_317,1335,2026-01-26T15:50:55.125469
user_151,user_317,2412,2026-01-26T14:35:55.125469
user_202,user_317,1057,2026-01-26T15:11:55.125469
user_470,user_317,997,2026-01-26T14:25:55.125469
user_168,user_317,1005,2026-01-26T14:44:55.125469
user_391,user_317,995,2026-01-26T14:34:55.125469
user_310,user_317,1653,2026-01-26T14:16:55.125469
user_194,user_317,2289,2026-01-26T15:25:55.125469
user_222,user_317,2899,2026-01-26T16:05:55.125469
user_110,user_317,1050,2026-01-26T15:05:55.125469
user_63,user_317,776,2026-01-26T15:01:55.125469
user_4,user_317,2524,2026-01-26T15:27:55.125469
user_295,user_317,1695,2026-01-26T14:07:55.125469
user_227,user_317,2919,2026-01-26T14:11:55.125469
user_400,user_317,679,2026-01-26T14:36:55.125469
user_397,user_317,2987,2026-01-26T15:10:55.125469
user_35,user_317,1908,2026-01-26T15:26:55.125469
user_308,user_317,2129,2026-01-26T14:18:55.125469
user_313,user_317,2955,2026-01-26T14:34:55.125469
user_487,user_317,572,2026-01-26T14:10:55.125469
user_422,user_317,952,2026-01-26T15:08:55.125469
user_236,user_317,768,2026-01-26T15:52:55.125469
user_5,user_317,1747,2026-01-26T15:24:55.125469
user_105,user_317,861,2026-01-26T15:16:55.125469
user_278,user_317,2397,2026-01-26T14:28:55.125469
user_281,user_317,1774,2026-01-26T15:51:55.125469
user_300,user_317,1907,2026-01-26T15:07:55.125469
user_424,user_317,1591,2026-01-26T15:54:55.125469
user_489,user_317,1895,2026-01-26T15:32:55.125469
user_395,user_317,1226,2026-01-26T14:46:55.125469
user_12,user_317,722,2026-01-26T16:05:55.125469
user_468,user_361,2669,2026-01-26T15:38:55.125469
user_217,user_361,1146,2026-01-26T15:07:55.125469
user_107,user_361,2963,2026-01-26T16:05:55.125469
user_392,user_361,1833,2026-01-26T15:21:55.125469
user_88,user_361,1245,2026-01-26T15:19:55.125469
user_174,user_361,643,2026-01-26T14:43:55.125469
user_58,user_361,910,2026-01-26T15:09:55.125469
user_373,user_361,1686,2026-01-26T15:26:55.125469
user_420,user_361,1042,2026-01-26T15:56:55.125469
user_466,user_361,2318,2026-01-26T15:00:55.125469
user_473,user_361,1285,2026-01-26T16:05:55.125469
user_2,user_361,1803,2026-01-26T16:04:55.125469
user_324,user_361,1478,2026-01-26T15:49:55.125469
user_397,user_361,1174,2026-01-26T15:13:55.125469
user_219,user_361,807,2026-01-26T14:42:55.125469
user_139,user_361,858,2026-01-26T16:03:55.125469
user_122,user_361,2225,2026-01-26T14:07:55.125469
user_204,user_361,2728,2026-01-26T14:45:55.125469
user_21,user_361,1749,2026-01-26T15:22:55.125469
user_0,user_361,913,2026-01-26T14:49:55.125469
user_164,user_361,1781,2026-01-26T14:30:55.125469
user_310,user_361,1569,2026-01-26T14:17:55.125469
user_355,user_361,2779,2026-01-26T14:11:55.125469
user_280,user_361,1289,2026-01-26T14:17:55.125469
user_478,user_361,2007,2026-01-26T15:51:55.125469
user_10,user_361,2414,2026-01-26T15:15:55.125469
user_106,user_361,1152,2026-01-26T15:12:55.125469
user_396,user_361,1053,2026-01-26T15:42:55.125469
user_237,user_361,2774,2026-01-26T15:03:55.125469
user_297,user_361,1572,2026-01-26T14:30:55.125469
user_275,user_361,1795,2026-01-26T14:58:55.125469
user_401,user_361,2516,2026-01-26T14:56:55.125469
user_341,user_361,1583,2026-01-26T14:17:55.125469
user_147,user_361,1623,2026-01-26T14:16:55.125469
user_35,user_361,1432,2026-01-26T14:23:55.125469
user_489,user_361,857,2026-01-26T15:41:55.125469
user_450,user_361,728,2026-01-26T14:59:55.125469
user_143,user_361,824,2026-01-26T14:08:55.125469
user_328,user_361,696,2026-01-26T14:38:55.125469
user_451,user_361,1216,2026-01-26T15:53:55.125469
user_59,user_44,952,2026-01-26T15:48:55.125469
user_189,user_44,1269,2026-01-26T14:17:55.125469
user_241,user_44,2055,2026-01-26T14:07:55.125469
user_391,user_44,1431,2026-01-26T14:10:55.125469
user_326,user_44,1078,2026-01-26T15:19:55.125469
user_283,user_44,2811,2026-01-26T14:50:55.125469
user_414,user_44,1325,2026-01-26T15:06:55.125469
user_155,user_44,2903,2026-01-26T15:17:55.125469
user_200,user_44,608,2026-01-26T14:13:55.125469
user_0,user_44,975,2026-01-26T14:58:55.125469
user_497,user_44,2894,2026-01-26T14:10:55.125469
user_440,user_44,1221,2026-01-26T15:07:55.125469
user_128,user_44,1444,2026-01-26T15:08:55.125469
user_166,user_44,822,2026-01-26T16:05:55.125469
user_282,user_44,645,2026-01-26T15:49:55.125469
user_129,user_44,828,2026-01-26T15:56:55.125469
user_340,user_44,2113,2026-01-26T16:01:55.125469
user_53,user_44,2572,2026-01-26T14:32:55.125469
user_327,user_44,2208,2026-01-26T14:13:55.125469
user_149,user_44,1727,2026-01-26T15:04:55.125469
user_106,user_44,1884,2026-01-26T14:15:55.125469
user_328,user_44,540,2026-01-26T14:52:55.125469
user_290,user_44,638,2026-01-26T14:49:55.125469
user_28,user_44,1960,2026-01-26T15:33:55.125469
user_413,user_44,2532,2026-01-26T15:22:55.125469
user_453,user_44,830,2026-01-26T14:23:55.125469
user_153,user_44,1755,2026-01-26T15:55:55.125469
user_463,user_44,2776,2026-01-26T14:33:55.125469
user_357,user_44,1890,2026-01-26T15:03:55.125469
user_339,user_44,2401,2026-01-26T14:23:55.125469
user_93,user_44,2672,2026-01-26T14:43:55.125469
user_245,user_44,2179,2026-01-26T15:59:55.125469
user_331,user_44,2502,2026-01-26T15:11:55.125469
user_45,user_44,628,2026-01-26T15:48:55.125469
user_74,user_44,1827,2026-01-26T14:52:55.125469
user_19,user_44,2259,2026-01-26T15:02:55.125469
user_54,user_44,1318,2026-01-26T15:20:55.125469
user_9,user_44,1254,2026-01-26T14:37:55.125469
user_145,user_44,1772,2026-01-26T14:53:55.125469
user_495,user_44,2890,2026-01-26T15:31:55.125469
user_20,user_393,1593,2026-01-26T15:57:55.125469
user_257,user_393,2349,2026-01-26T15:09:55.125469
user_149,user_393,1164,2026-01-26T16:05:55.125469
user_49,user_393,990,2026-01-26T14:27:55.125469
user_346,user_393,2343,2026-01-26T15:12:55.125469
user_218,user_393,2000,2026-01-26T15:08:55.125469
user_270,user_393,2922,2026-01-26T15:59:55.125469
user_429,user_393,2116,2026-01-26T14:12:55.125469
user_175,user_393,2390,2026-01-26T15:34:55.125469
user_161,user_393,2889,2026-01-26T14:44:55.125469
user_440,user_393,2172,2026-01-26T15:52:55.125469
user_449,user_393,2864,2026-01-26T14:46:55.125469
user_75,user_393,722,2026-01-26T15:29:55.125469
user_233,user_393,721,2026-01-26T14:54:55.125469
user_34,user_393,1379,2026-01-26T14:49:55.125469
user_329,user_393,1451,2026-01-26T14:06:55.125469
user_55,user_393,1218,2026-01-26T14:45:55.125469
user_265,user_393,671,2026-01-26T14:32:55.125469
user_232,user_393,687,2026-01-26T16:00:55.125469
user_268,user_393,1565,2026-01-26T15:21:55.125469
user_108,user_393,2889,2026-01-26T16:01:55.125469
user_105,user_393,885,2026-01-26T15:19:55.125469
user_295,user_393,2666,2026-01-26T15:27:55.125469
user_25,user_393,1048,2026-01-26T14:52:55.125469
user_308,user_393,1108,2026-01-26T15:05:55.125469
user_234,user_393,1306,2026-01-26T15:16:55.125469
user_31,user_393,1801,2026-01-26T14:09:55.125469
user_301,user_393,1272,2026-01-26T14:41:55.125469
user_368,user_393,2113,2026-01-26T15:19:55.125469
user_322,user_393,2797,2026-01-26T15:18:55.125469
user_290,user_393,1209,2026-01-26T14:27:55.125469
user_443,user_393,1480,2026-01-26T15:00:55.125469
user_269,user_393,588,2026-01-26T15:20:55.125469
user_12,user_393,2654,2026-01-26T15:25:55.125469
user_223,user_393,1408,2026-01-26T14:14:55.125469
user_11,user_393,1500,2026-01-26T14:47:55.125469
user_471,user_393,860,2026-01-26T15:50:55.125469
user_367,user_393,2162,2026-01-26T15:43:55.125469
user_410,user_393,2200,2026-01-26T15:46:55.125469
user_48,user_393,848,2026-01-26T14:09:55.125469
user_283,user_399,1241,2026-01-26T14:12:55.125469
user_268,user_399,2338,2026-01-26T15:52:55.125469
user_109,user_399,2781,2026-01-26T16:04:55.125469
user_237,user_399,1562,2026-01-26T14:54:55.125469
user_142,user_399,2830,2026-01-26T14:55:55.125469
user_220,user_399,1873,2026-01-26T15:26:55.125469
user_366,user_399,1265,2026-01-26T15:41:55.125469
user_69,user_399,2825,2026-01-26T14:12:55.125469
user_497,user_399,1650,2026-01-26T14:39:55.125469
user_246,user_399,995,2026-01-26T15:04:55.125469
user_406,user_399,2871,2026-01-26T14:17:55.125469
user_242,user_399,566,2026-01-26T15:14:55.125469
user_429,user_399,839,2026-01-26T15:53:55.125469
user_161,user_399,1294,2026-01-26T14:41:55.125469
user_93,user_399,742,2026-01-26T15:46:55.125469
user_395,user_399,1754,2026-01-26T15:26:55.125469
user_394,user_399,2676,2026-01-26T15:36:55.125469
user_434,user_399,1956,2026-01-26T15:35:55.125469
user_474,user_399,2410,2026-01-26T15:41:55.125469
user_349,user_399,1619,2026-01-26T15:08:55.125469
user_290,user_399,1638,2026-01-26T15:28:55.125469
user_274,user_399,922,2026-01-26T15:28:55.125469
user_287,user_399,877,2026-01-26T14:17:55.125469
user_143,user_399,2238,2026-01-26T15:41:55.125469
user_166,user_399,2057,2026-01-26T15:43:55.125469
user_113,user_399,1058,2026-01-26T15:11:55.125469
user_437,user_399,1211,2026-01-26T15:56:55.125469
user_416,user_399,1936,2026-01-26T15:03:55.125469
user_295,user_399,2357,2026-01-26T14:34:55.125469
user_369,user_399,2812,2026-01-26T15:29:55.125469
user_257,user_399,2932,2026-01-26T14:40:55.125469
user_91,user_399,2024,2026-01-26T14:28:55.125469
user_211,user_399,1396,2026-01-26T14:20:55.125469
user_134,user_399,779,2026-01-26T15:34:55.125469
user_202,user_399,768,2026-01-26T15:28:55.125469
user_316,user_399,1516,2026-01-26T15:28:55.125469
user_59,user_399,2760,2026-01-26T14:19:55.125469
user_328,user_399,2622,2026-01-26T15:58:55.125469
user_53,user_399,1478,2026-01-26T15:53:55.125469
user_424,user_399,2561,2026-01-26T15:26:55.125469
user_317,kingpin_main,49519,2026-01-26T16:06:55.125469
user_361,kingpin_main,31042,2026-01-26T16:06:55.125469
user_44,kingpin_main,27146,2026-01-26T16:06:55.125469
user_393,kingpin_main,25783,2026-01-26T16:06:55.125469
user_399,kingpin_main,23199,2026-01-26T16:06:55.125469
